ID;ID_ORIGINAL;ID_EQUIPO;EQUIPO;MARCA;MODELO;SERIE;ACTIVO_FIJO;AREA;UBICACION;REGISTRO_SANITARIO;CLASIFICACION_RIESGO;ESTADO;PROPIETARIO_EQUIPO;ENCARGADO_MTTO_MP;PERIODICIDAD_MP
382;383;78;Cama Hospitalaria;Mafet;N.I;N.I;N3463;UCI 1;Cubiculo 1- BODEGA 3 PISO;INVIMA 2024DM-0012033-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
383;384;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0013;2001000236;UCI 1;Cubiculo 8- BODEGA 3 PISO;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
384;385;83;Cama Hospitalaria;Mubi;Lynix;84611;N4709;UCI 1;Cubiculo 4- BODEGA 3 PISO;INVIMA 2014DM-0010936;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
385;386;83;Cama Hospitalaria;Mubi;Lynix;84618;N4706;UCI 1;Cubiculo 6- BODEGA 3 PISO;INVIMA 2014DM-0010936;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
386;387;83;Cama Hospitalaria;Mubi;Lynix;84614;N4707;UCIN;Cubiculo 6;INVIMA 2014DM-0010936;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
387;388;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0016;V107669;UCI 1;Cubiculo 2- BODEGA 3 PISO;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
388;389;76;Cama Hospitalaria;MB;mb11-2;7851;N.I;Hospitalizacion;Habitacion 512;INVIMA 2024DM-0012181-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
389;390;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0019;v107667;UCI 1;Cubiculo 4;INVIMA 2014DM-0011235;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
390;391;85;Cama Hospitalaria;Mubi;linix;84616;N4700;UCI 2;Cubiculo 22;INVIMA 2024DM-0012181-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
391;392;85;Cama Hospitalaria;Mubi;linix;84617;N4708;UCIN;Cubiculo 2;INVIMA 2024DM-0012181-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
392;393;85;Cama Hospitalaria;Mubi;linix;84619;N4698;UCI 2;Cubiculo 17;INVIMA 2024DM-0012181-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
393;394;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0005;V111502;UCI 1;Cubiculo 2;INVIMA 2014DM-0011235;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
394;395;85;Cama Hospitalaria;Mubi;linix;91137;N6208;UCI 1;cubiculo 10;INVIMA 2024DM-0012181-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
395;396;73;Cama Hospitalaria;L&K;hb-54-c1;UCIC0018;v109610;UCI 1;cubiculo 12;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
396;397;83;Cama Hospitalaria;Mubi;Lynix;91138;N6209;UCI 2;cubiculo 19;INVIMA 2014DM-0010936;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
397;398;70;Cama Hospitalaria;L&K;Hb54-c1;UCIC0017;v111500;UCI 1;Cubiculo 6;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
398;399;83;Cama Hospitalaria;Mubi;Lynix;84609;N4703;UCI 2;Cubiculo 20;INVIMA 2014DM-0010936;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
399;400;87;Cama Hospitalaria;Stryker;Intouch;T02574;v107661;UCI 2;Cubiculo 19;INVIMA 2023DM-0026461;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
400;401;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0006;V110968;UCIN;Cubiculo 8;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;SUKHI;SEMESTRAL
401;402;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0002;N.I;UCI 1;cubiculo 11;INVIMA 2014DM-0011235;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
402;403;83;Cama Hospitalaria;Mubi;Lynix;84613;N4702;UCI 1;cubiculo 2;INVIMA 2014DM-0010936;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
403;404;87;Cama Hospitalaria;Stryker;Intouch;U04529;N2370;UCI 2;CUBICULO 18;INVIMA 2023DM-0026461;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
404;405;87;Cama Hospitalaria;Stryker;Intouch;U04546;v107663;UCI 2;ucis;INVIMA 2023DM-0026461;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
405;406;86;Cama Hospitalaria;Mubi;lynix;84608;N4699;UCI 1;Cubiculo 5;INVIMA 2024DM-0012181-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
406;407;82;Cama Hospitalaria;Mafet;tc1-s3nb-4;202005191012;N3077;UCI 1;cubiculo 5- BODEGA 3 PISO;INVIMA 2024DM-0012033-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
407;408;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0003;v109629;UCI 1;cubiculo 7;INVIMA 2014DM-0011235;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
408;409;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0004;V107694;UCI 1;cubiculo 11;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
409;410;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0001;V109608;UCI 2;cubiculo 27;INVIMA 2014DM-0011235;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
410;411;74;Cama Hospitalaria;L&K;hb54-c1;UCIC0012;v108537;UCI 1;cubiculo 7;INVIMA 2014DM-0011235;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
411;412;88;Camara;Conmed;im8120;20150608;N.A.;Cirugia;Cuarto de equipos;No especifica;No especifica;DISPONIBLE;Bioart;BIOART;No especifica
412;413;88;Camara;Conmed;im8120;20210501;N.A.;Cirugia;Cuarto de equipos;No especifica;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;No especifica
413;414;96;Centrifuga;LW Scientific;LWS COMBO V24T;1210290;V100954;Banco de Sangre;Area de infecciosas;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
414;415;89;Centrifuga;Bio-Rad;ID CENTRIFUGE 12 S II;2005858;N.I;Banco de Sangre;Inmunohematologia;No aplica (ACTA No. 07 Junio 10 de 2009);No especifica;DISPONIBLE;Biocientifica;Biocientifica;SEMESTRAL
415;416;90;Centrifuga;Boeco;C-28A;0000408-07;N3889;Laboratorio;Centrifugacion;INVIMA 2014DM-0011507;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
416;417;91;Centrifuga;DRUCKER;614B;570106-4;N.I;Laboratorio;Centrifugacion;INVIMA 2023DM-0011937-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
417;418;93;Centrifuga;Hanil;FLETA 40;HICMF222021602015;N8935;Laboratorio;Toma de Muestras Ferrocarriles;INVIMA 2014DM-0011166;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
418;419;92;Centrifuga;HETTICH;ROTOFIX 32A;12122;N11152;Laboratorio;Toma de Muestras IPS Tequendama;INVIMA 2023DM-0027417;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
419;420;95;Centrifuga;INDULAB;SPECIAL 004-E;11118;N.I;Laboratorio;Centrifugacion;INVIMA 2014DM-0012039;No especifica;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
420;421;97;Centrifuga;LW Scientific;LWS-COMBO-V-24T;TBX-18030065;N1781;Laboratorio;Toma de Muestras Bosque;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
421;422;94;Centrifuga;Hanil;Serospin;hicme323011601002;n10088;Banco de Sangre;separacion de componentes;INVIMA 2014DM-0012039;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
422;423;98;Centrifuga Refrigerada;PRESVAC;DP-2065 R PLUS;11071;N.I;Banco de Sangre;AREA DE COMPONENTES;INVIMA 2014DM-0012039;No especifica;DISPONIBLE;Cosmitet Ltda.;No especifica;ANUAL
423;424;99;Cicloergometro;No especifica;n.i;n.i;N.I;Hospitalizacion;cuarto de rehabilitacion;N.A;No especifica;Mantenimiento;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
424;425;100;Compresor vascular;Covidien;Kendall SCD 700 Series;V2230880SX;N10087;UCI 1;Cubiculo 2;INVIMA 2022DM-0025539;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
425;426;101;Conector esteril;Terumo;T-SCDII;1910031;N.I;Banco de Sangre;Separacion de Componentes;N.A;No especifica;DISPONIBLE;Terumo;Terumo;ANUAL
426;427;105;Congelador de Plasma Fresco;No especifica;N.I.;CRD-CG-04;2026000001;Banco de Sangre;Cuarto de Refrigeracion;INVIMA 2022DM-0025541;No especifica;DISPONIBLE;Cosmitet Ltda.;Biomedica del Valle;CUATRIMESTRAL
427;428;104;Congelador de Plasma Fresco;No especifica;N.I;CRD-CG-02;N.I;Banco de Sangre;Cuarto de Refrigeracion;INVIMA 2022DM-0025542;No especifica;DISPONIBLE;Cosmitet Ltda.;Biomedica del Valle;CUATRIMESTRAL
428;429;103;Congelador Seroteca;No especifica;N.I;CRD-CG-03;N.I;Banco de Sangre;Cuarto de Refrigeracion;INVIMA 2022DM-0025543;No especifica;DISPONIBLE;Cosmitet Ltda.;Biomedica del Valle;CUATRIMESTRAL
429;430;106;Consola de artroscopia;Conmed;Drive System D4000;20212937;N.I;Cirugia;Cuarto de equipos;INVIMA 2022DM-0025544;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
430;431;107;Consola de contrapulsacion;arrow;ac1plus;80620a;1016000174;UCI 1;cuatro de equipos;INVIMA 2010EBC-0006745;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
431;432;609;consola quirurgica;Stryker;TPS;313400673;N.I.;Cirugia;Cuarto de equipos;No especifica;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;No especifica
432;433;609;consola quirurgica;Stryker;TPS;20933;N.I.;Cirugia;Cuarto de equipos;No especifica;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;No especifica
433;434;108;Contador de Celulas Digital;L Y L DESING;P001;2281;N.I;Laboratorio;Urgencias Microscopia;INVIMA 2022DM-0025546;No especifica;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
434;435;109;Controlador de Camara;Conmed;IM8000;21112393;N.I;Cirugia;Cuarto de equipos;INVIMA 2022DM-0025547;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
435;436;109;Controlador de Camara;Conmed;IM8000;1442-00-72;N.I;Cirugia;Cuarto de equipos;INVIMA 2022DM-0025548;No especifica;DISPONIBLE;Bioart;BIOART;SEMESTRAL
436;437;110;Criostato;Thermo Fisher Scientific;HM525 NX UV;S16089771;N270;Laboratorio;Regionales (Microelisa);INVIMA 2022DM-0025549;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
437;438;111;Desfibrilador;Mindray;Beneheart D3;EZ-21079671;N8341;Cirugia;Carro de paro Recuperacion;INVIMA2020EBC-0005463-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
438;439;111;Desfibrilador;Mindray;Beneheart D3;EZ-21079698;N8340;Cirugia;Carro de paro salas cirugia;INVIMA2020EBC-0005463-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
439;440;114;Desfibrilador;Zoll;M Series;T00F13033;N.I;Hemodinamia;Quirofano;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
440;441;112;Desfibrilador;Zoll;E series;AB07A003430;V115816;Hospitalizacion;carro de paro #8;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
441;442;112;Desfibrilador;Zoll;E series;ab07a003403;v116865;Hospitalizacion;Carro de paro 5 norte;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
442;443;114;Desfibrilador;Zoll;M Series;T03L53575;V113321;Hospitalizacion;Carro de paro #4;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
443;444;114;Desfibrilador;Zoll;M Series;T03K52809;1043000004;UCI 1;Carro de paro;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
444;445;116;Desfibrilador;Zoll;Mseries;T03C43936;V116562;Oncologia;Sala de quimioterapia;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
445;446;114;Desfibrilador;Zoll;M Series;T17L138855;N1184;Rehabilitacion Cardiaca;carro de paro;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
446;447;115;Desfibrilador;Zoll;M series;BIO71606;V113318;UCI 1;Biomedico;INVIMA 2020EBC-0021132;CLASE IIB;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
447;448;111;Desfibrilador;Mindray;Beneheart D3;EZ26090733;N8342;UCI 2;Carro de paro;INVIMA2020EBC-0005463-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
448;449;113;Desfibrilador;Zoll;Eseries;AB07A003358;V115809;Imagenes Diagnosticas;Carro de paro;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
449;450;114;Desfibrilador;Zoll;M Series;T03K52795;V113319-1;UCIN;Carro de paro;INVIMA 2020EBC-0021132;CLASE IIB;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
450;451;116;Desfibrilador;Zoll;Mseries;T06E79837;V116561;Unidad Renal;Sala de hemodialisis;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
451;452;116;Desfibrilador;Zoll;Mseries;T04H61987;N2067;Urgencias;Reanimacion;INVIMA 2020EBC-0021132;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
452;453;114;Desfibrilador;Zoll;M Series;T99DO2338;V116495;Hospitalizacion;CARRO DE PARO 6°;INVIMA 2020EBC-0021132;CLASE IIB;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
453;454;118;Doppler Fetal;Hultleigh;FD1+;FD1PX0366487-14;V116180;Hospitalizacion;Estacion de enfermeria#6;INVIMA 2017DM-0016576;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
454;455;118;Doppler Fetal;Hultleigh;FD1+;FD1PX0362611-13;N.I;Partos;Observacion Partos;INVIMA 2008DM-0002974;CLASE IIB;Mantenimiento;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
455;456;117;Doppler Fetal;Edan;Sonotrax;560042-M18200510016;N968;Urgencias;Sala de procedimientos;INVIMA 2017DM-0001107-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
456;457;121;Ecografo;Mindray;DC-70;CJ1-11001987;N3172;Imagenes Diagnosticas;Ecografia;INVIMA 2025DM-0012622-R1;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
457;458;120;Ecografo;Mindray;CONSONA N8;LP7-35000751;N.I.;Imagenes Diagnosticas;Ecografia;No especifica;No especifica;Mantenimiento;Cosmitet Ltda.;SUKHI;SEMESTRAL
458;459;123;Ecografo;Toshiba;VIVP 660;LGI1092658;N.I;Imagenes Diagnosticas;Ecografia 3;INVIMA 2008DM-0002313;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
459;460;119;Ecografo;Canon;Aplio-A450;99C1932265;N2837;Imagenes Diagnosticas;Ecografia;INVIMA 2018DM-0018035;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
460;461;122;Ecografo;Siemens;Acuson X300;349940;V116239;Cirugia;Cuarto de equipos;No especifica;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
461;462;126;Electrobisturi;Covidien;FT 10;T2156618DX;N8329;Cirugia;Sala 1;INVIMA 2016EBC-0015489;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
462;463;126;Electrobisturi;Covidien;FT 10;T0G42970DX;N2914;Cirugia;Sala 3;INVIMA 2016EBC-0015489;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
463;464;127;Electrobisturi;Valleylab;Force FX;F1J19440A;V99348;Cirugia;Sala 2;INVIMA 2019EBC-0001750-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
464;465;128;Electrobisturi;WEM;SS-501 SX;CAE0006189;N8328;Cirugia;Sala 4;INVIMA 2020EBC-0004122-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
465;466;125;Electrobisturi;Conmed;System 2450;14FGU111;V114843;Cirugia;Sala 1;INVIMA 2024EBC-0010649-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
466;467;125;Electrobisturi;Conmed;System 2450;13MGU034;V114441;Cirugia;Gastroscopia;INVIMA 2024EBC-0010649-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
467;468;124;Electrobisturi;Conmed;SYSTEM 2450;15360068;N441;Hemodinamia;procedimientos;INVIMA 2024EBC-0010649-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
468;469;131;Electrocardiografo;Bionet;Cardiocare;EG0700062;AF30388;Especialistas;Consultorio #13;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
469;470;129;Electrocardiografo;Bionet;Cardio 7;T701000022;V115808;Hospitalizacion;Carro de paro 5 piso norte;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
470;471;135;Electrocardiografo;Edan;SE-301;360625-M22911740004;N8724;Hospitalizacion;Estacion 8vo piso;INVIMA 2017DM-0001038-R1;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
471;472;134;Electrocardiografo;Edan;SE-3;360433-M16204780019;N151;Hospitalizacion;Hospitalizacion;INVIMA 2017DM-0001038-R1;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
472;473;130;Electrocardiografo;Bionet;Cardio7;T7P0200029;V116868;UCI 2;Deposito de equipos;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
473;474;130;Electrocardiografo;Bionet;Cardio7;T701000010;V115430;Hospitalizacion;Hospitalizacion;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
474;475;133;Electrocardiografo;Bionet;cardio7;T701000011;V115815;Hemodinamia;Preparacion pacientes;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
475;476;133;Electrocardiografo;Bionet;cardio7;TP70200028;V116866;UCI 1;UCI 1;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
476;477;132;Electrocardiografo;Bionet;cardio 7;T7p0200032;v116863;Urgencias;Observacion;INVIMA 2015DM-0013224;CLASE IIA;DISPONIBLE;Cosmitet Ltda.;SUKHI;SEMESTRAL
477;478;129;Electrocardiografo;Bionet;Cardio 7;T701200206;V116492;Urgencias;Observacion;INVIMA 2015DM-0013224;CLASE IIA;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
478;479;138;Equipo de agregacion Plaquetaria;Siemens;PFA 100;3873;N.I;Laboratorio;Hematologia - Coagulacion;INVIMA 2008DM-0002951;No especifica;DISPONIBLE;Interlab;Interlab;ANUAL
479;480;139;Equipo de artroscopia;Arthrocand;Quantum 2;QCOP0004W7;N1361;Cirugia;Cuarto de equipos;INVIMA 2022EBC-0008467-R1;No especifica;DISPONIBLE;Cosmitet Ltda.;No especifica;ANUAL
480;481;140;Equipo de organos;Heine;Heine en 80;0/9639;N.I;Especialistas;Consultorio;INVIMA 2009DM-0003165;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
481;482;145;Equipo de organos;Welch Allyn;Led;N.I;N8419;Hospitalizacion;Estacion de enfermeria 4 piso norte;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
482;483;148;Equipo de organos;Welch Allyn;n.i;Eo-03;N.I;Hospitalizacion;estacion de enfermeria #8;INVIMA 2022DM-0009186-R1;CLASE I;Mantenimiento;Cosmitet Ltda.;N/A;N/A
483;484;145;Equipo de organos;Welch Allyn;Led;N.I;N8420;Hospitalizacion;Estacion de enfermeria 5 piso norte;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
484;485;146;Equipo de organos;Welch Allyn;Pocket Junior 727;NI;V115372;Oncologia;Oficina jefe;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
485;486;143;Equipo de organos;Welch Allyn;728;N.I.;1066000008;Partos;Observacion Partos;INVIMA 2022DM-0009186-R1;CLASE I;Mantenimiento;Cosmitet Ltda.;N/A;N/A
486;487;144;Equipo de organos;Welch Allyn;Gs777;EOR004;N.I;Urgencias;Triagge 1;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
487;488;144;Equipo de organos;Welch Allyn;Gs777;EOR002;V113677;Urgencias;Consultorio #3;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
488;489;144;Equipo de organos;Welch Allyn;Gs777;EOR001;V113674;Urgencias;Oficina jefe;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
489;490;141;Equipo de organos;Hillrom;Gs 777;N.I;N8094;Urgencias;Consultorio #1;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
490;491;141;Equipo de organos;Hillrom;Gs 777;N.I;N8095;Urgencias;Consultorio #4;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
491;492;149;Equipo de organos;Welch Allyn;pocked junior 727;N.i;N4498;Urgencias;Sala de procedimientos;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
492;493;141;Equipo de organos;Hillrom;Gs 777;N.I;N8096;Urgencias;Triagge 2;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
493;494;147;Equipo de organos;Welch Allyn;Pocket led;No identificado;N.I;Especialistas;Consultorio;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
494;495;142;Equipo de organos;Hillrom;Pared;N.A;N10918;Especialistas;Consultorio #11;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
495;496;142;Equipo de organos;Hillrom;Pared;N.A;N10919;Especialistas;Consultorio #12;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
496;497;142;Equipo de organos;Hillrom;Pared;N.A;N10920;Especialistas;Consultorio #4;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
497;498;142;Equipo de organos;Hillrom;Pared;N.A;N10921;Especialistas;Consultorio #9;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
498;499;142;Equipo de organos;Hillrom;Pared;N.A;N10922;Especialistas;Consultorio #8;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
499;500;142;Equipo de organos;Hillrom;Pared;N.A;N10923;Especialistas;Consultorio #1;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
500;501;142;Equipo de organos;Hillrom;Pared;N.A;N10924;Especialistas;Consultorio #3;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
501;502;142;Equipo de organos;Hillrom;Pared;N.A;N10925;Especialistas;Consultorio #6;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
502;503;142;Equipo de organos;Hillrom;Pared;N.A;N10926;Especialistas;Consultorio #2;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
503;504;142;Equipo de organos;Hillrom;Pared;N.A;N10927;Especialistas;Consultorio #5;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
504;505;142;Equipo de organos;Hillrom;Pared;N.A;N10928;Especialistas;Consultorio 13;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
505;506;136;Equipo de Rx;Mindray;DIGI EYE 280 50 KW;EB6-33000462;N.I;Imagenes Diagnosticas;RX 2;INVIMA 2022DM-0009186-R1;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
506;507;137;Equipo de Rx portatil;Agfa;DR100e;40209;N5955;Imagenes Diagnosticas;Rx portatil;INVIMA 2014DM-0011341;No especifica;DISPONIBLE;Cosmitet Ltda.;RX SA;ANUAL
